Cases	Content post fileter	Embeddable Tags	internal tags	translatable attibute	Internal text filter of html filter	Internal text post filter	Internal text post filter
Case 1	On	O	O	O	O	On	O
Case 2	On	O	O	O	O	On	X
Case 3	On	O	O	O	X	On	O
Case 4	On	O	O	O	X	On	X
Case 5	On	O	O	X	O	On	O
Case 6	On	O	O	X	O	On	X
Case 7	On	O	O	X	X	On	O
Case 8	On	O	O	X	X	On	X
Case 9	On	O	X	O	O	On	O
Case 10	On	O	X	O	O	On	X
Case 11	On	O	X	O	X	On	O
Case 12	On	O	X	O	X	On	X
Case 13	On	O	X	X	O	On	O
Case 14	On	O	X	X	O	On	X
Case 15	On	O	X	X	X	On	O
Case 16	On	O	X	X	X	On	X
Case 17	On	X	O	O	O	On	O
Case 18	On	X	O	O	O	On	X
Case 19	On	X	O	O	X	On	O
Case 20	On	X	O	O	X	On	X
Case 21	On	X	O	X	O	On	O
Case 22	On	X	O	X	O	On	X
Case 23	On	X	O	X	X	On	O
Case 24	On	X	O	X	X	On	X
Case 25	On	X	X	O	O	On	O
Case 26	On	X	X	O	O	On	X
Case 27	On	X	X	O	X	On	O
Case 28	On	X	X	O	X	On	X
Case 29	Off	O	O	O	O	On	O
Case 30	Off	O	O	O	O	Off	O
Case 31	On	O	O	O	O	Off	O
